question,choices,question_formatted,answer,locations,scene_id,label,floor_id
How many doors are in region 1?,"['12', '15', '10', '8']",How many doors are in region 1? A) 12 B) 15 C) 10 D) 8. Answer:,A,"door (object_id: 29): [-11.505, -1.678, 1.051], 1; door (object_id: 31): [-2.267, -1.23, 1.023], 1; door (object_id: 22): [-14.756, 7.965, 1.009], 1; door (object_id: 25): [-13.28, -1.253, 0.992], 1; door (object_id: 20): [-17.068, -1.307, 1.131], 1; door (object_id: 19): [-15.273, -1.123, 1.002], 1; door (object_id: 17): [-14.296, 10.451, 1.154], 1; door (object_id: 30): [-9.089, -0.902, 1.144], 1; door (object_id: 18): [-16.904, -1.313, 1.144], 1; door (object_id: 28): [-9.17, -0.85, 1.021], 1; door (object_id: 24): [-15.635, 1.29, 1.143], 1; door (object_id: 21): [-14.287, 11.121, 1.129], 1; door (object_id: 16): [-17.112, 8.09, 1.141], 1; door (object_id: 23): [-13.608, 5.858, 1.04], 1; door (object_id: 26): [-11.498, -1.069, 1.142], 1; door (object_id: 32): [-3.07, -2.63, 1.145], 1; door (object_id: 27): [-11.499, -1.711, 1.01], 1",00001-UVdNNRcVyV1,counting,1
How many windows are in region 1 and region 1?,"['8', '11', '7', '10']",How many windows are in region 1 and region 1? A) 8 B) 11 C) 7 D) 10. Answer:,B,"window (object_id: 5): [-10.884, 7.495, 1.3], 1; window (object_id: 4): [-10.252, -6.343, 2.404], 1; window (object_id: 2): [-10.879, 7.501, 1.285], 1; window (object_id: 1): [-15.696, 12.114, 1.418], 1; window (object_id: 3): [-10.879, 7.498, 1.275], 1; window (object_id: 0): [-15.715, 12.11, 1.409], 1; window (object_id: 6): [-10.879, 7.498, 1.275], 1; window (object_id: 6): [-10.252, -6.343, 2.404], 1",00001-UVdNNRcVyV1,counting,1
How many beds are in the scene?,"['10', '9', '11', '12']",How many beds are in the scene? A) 10 B) 9 C) 11 D) 12. Answer:,C,"bed (object_id: 11): [-10.249, -4.777, 0.541], 1; bed (object_id: 15): [-3.64, -4.795, 0.525], 1; bed (object_id: 7): [-17.872, -2.469, 0.757], 1; bed (object_id: 10): [-9.565, -2.9, 0.565], 1; bed (object_id: 14): [-4.362, -4.301, 0.649], 1; bed (object_id: 8): [-13.465, -3.207, 0.281], 1; bed (object_id: 9): [-9.897, -4.525, 0.513], 1; bed (object_id: 12): [-10.231, -2.697, 0.51], 1; bed (object_id: 6): [-16.597, 9.884, 0.67], 1; bed (object_id: 13): [-4.088, -4.228, 0.46], 1",00001-UVdNNRcVyV1,counting,1
How many chairs and tables are in region 1?,"['9', '7', '8', '10']",How many chairs and tables are in region 1? A) 9 B) 7 C) 8 D) 10. Answer:,A,"chair (object_id: 47): [-9.173, 0.67, 0.501], 1; chair (object_id: 44): [-7.387, 1.688, 0.515], 1; chair (object_id: 46): [-7.427, 1.652, 0.557], 1; chair (object_id: 45): [-7.421, 1.628, 0.91], 1; table (object_id: 42): [-10.966, 2.194, 0.27], 1; table (object_id: 43): [-7.17, 2.229, 0.633], 1; table (object_id: 41): [-7.503, 2.644, 0.641], 1; table (object_id: 40): [-10.249, -4.777, 0.541], 1",00001-UVdNNRcVyV1,counting,1
How many doors are in region 1?,"['10', '12', '8', '11']",How many doors are in region 1? A) 10 B) 12 C) 8 D) 11. Answer:,A,"door (object_id: 19): [-15.273, -1.123, 1.002], region_id: 1; door (object_id: 27): [-11.499, -1.711, 1.01], region_id: 1; door (object_id: 26): [-11.498, -1.069, 1.142], region_id: 1; door (object_id: 30): [-9.089, -0.902, 1.144], region_id: 1; door (object_id: 28): [-9.17, -0.85, 1.021], region_id: 1; door (object_id: 22): [-14.756, 7.965, 1.009], region_id: 1; door (object_id: 24): [-15.635, 1.29, 1.143], region_id: 1; door (object_id: 18): [-16.904, -1.313, 1.144], region_id: 1; door (object_id: 21): [-14.287, 11.121, 1.129], region_id: 1; door (object_id: 25): [-13.28, -1.253, 0.992], region_id: 1; door (object_id: 23): [-13.608, 5.858, 1.04], region_id: 1; door (object_id: 20): [-17.068, -1.307, 1.131], region_id: 1",00001-UVdNNRcVyV1,counting,1
How many beds are in region 1 and region 1?,"['8', '7', '5', '10']",How many beds are in region 1 and region 1? A) 8 B) 7 C) 5 D) 10. Answer:,A,"bed (object_id: 13): [-4.088, -4.228, 0.46], region_id: 1; bed (object_id: 15): [-3.64, -4.795, 0.525], region_id: 1; bed (object_id: 8): [-13.465, -3.207, 0.281], region_id: 1; bed (object_id: 6): [-16.597, 9.884, 0.67], region_id: 1; bed (object_id: 14): [-4.362, -4.301, 0.649], region_id: 1; bed (object_id: 9): [-9.897, -4.525, 0.513], region_id: 1; bed (object_id: 11): [-10.249, -4.777, 0.541], region_id: 1; bed (object_id: 10): [-9.565, -2.9, 0.565], region_id: 1",00001-UVdNNRcVyV1,counting,1
How many windows are in the scene?,"['6', '5', '8', '7']",How many windows are in the scene? A) 6 B) 5 C) 8 D) 7. Answer:,A,"window (object_id: 5): [-10.884, 7.495, 1.3], region_id: 1; window (object_id: 0): [-15.715, 12.11, 1.409], region_id: 1; window (object_id: 1): [-15.696, 12.114, 1.418], region_id: 1; window (object_id: 2): [-10.879, 7.501, 1.285], region_id: 1; window (object_id: 3): [-10.879, 7.498, 1.275], region_id: 1; window (object_id: 4): [-10.252, -6.343, 2.404], region_id: 1",00001-UVdNNRcVyV1,counting,1
How many chairs and tables are in region 1?,"['5', '4', '6', '3']",How many chairs and tables are in region 1? A) 5 B) 4 C) 6 D) 3. Answer:,C,"chair (object_id: 47): [-9.173, 0.67, 0.501], region_id: 1; chair (object_id: 46): [-7.427, 1.652, 0.557], region_id: 1; chair (object_id: 44): [-7.387, 1.688, 0.515], region_id: 1; chair (object_id: 45): [-7.421, 1.628, 0.91], region_id: 1; table (object_id: 41): [-7.503, 2.644, 0.641], region_id: 1; table (object_id: 40): [-10.249, -4.777, 0.541], region_id: 1; table (object_id: 42): [-10.966, 2.194, 0.27], region_id: 1; table (object_id: 43): [-7.17, 2.229, 0.633], region_id: 1",00001-UVdNNRcVyV1,counting,1
How many beds are in region 1?,"['5', '6', '7', '4']",How many beds are in region 1? A) 5 B) 6 C) 7 D) 4. Answer:,B,"bed (object_id: 10): [-9.565, -2.9, 0.565], 1; bed (object_id: 9): [-9.897, -4.525, 0.513], 1; bed (object_id: 15): [-3.64, -4.795, 0.525], 1; bed (object_id: 11): [-10.249, -4.777, 0.541], 1; bed (object_id: 12): [-10.231, -2.697, 0.51], 1; bed (object_id: 14): [-4.362, -4.301, 0.649], 1;",00001-UVdNNRcVyV1,counting,1
How many windows are in region 1 and region 4?,"['4', '6', '5', '3']",How many windows are in region 1 and region 4? A) 4 B) 6 C) 5 D) 3. Answer:,C,"window (object_id: 1): [-15.696, 12.114, 1.418], 1; window (object_id: 4): [-10.252, -6.343, 2.404], 1; window (object_id: 0): [-15.715, 12.11, 1.409], 1; window (object_id: 3): [-10.879, 7.498, 1.275], 1; window (object_id: 2): [-10.879, 7.501, 1.285], 1;",00001-UVdNNRcVyV1,counting,1
How many windows are in the scene?,"['10', '8', '9', '11']",How many windows are in the scene? A) 10 B) 8 C) 9 D) 11. Answer:,A,"window (object_id: 1): [-15.696, 12.114, 1.418], 1; window (object_id: 4): [-10.252, -6.343, 2.404], 1; window (object_id: 0): [-15.715, 12.11, 1.409], 1; window (object_id: 3): [-10.879, 7.498, 1.275], 1; window (object_id: 2): [-10.879, 7.501, 1.285], 1; window (object_id: 5): [-10.884, 7.495, 1.3], 1; window (object_id: 6): [-16.597, 9.884, 0.67], 1; window (object_id: 7): [-14.469, 11.336, 1.274], 1; window (object_id: 8): [-14.469, 9.336, 1.274], 1;",00001-UVdNNRcVyV1,counting,1
How many chairs and tables are in region 1?,"['3 and 4', '4 and 6', '5 and 3', '2 and 5']",How many chairs and tables are in region 1? A) 3 and 4 B) 4 and 6 C) 5 and 3 D) 2 and 5. Answer:,B,"chair (object_id: 47): [-9.173, 0.67, 0.501], 1; chair (object_id: 45): [-7.421, 1.628, 0.91], 1; chair (object_id: 44): [-7.387, 1.688, 0.515], 1; table (object_id: 43): [-7.17, 2.229, 0.633], 1; table (object_id: 42): [-10.966, 2.194, 0.27], 1; table (object_id: 41): [-7.503, 2.644, 0.641], 1; table (object_id: 40): [-10.249, -4.777, 0.541], 1;",00001-UVdNNRcVyV1,counting,1
