question,choices,question_formatted,answer,scene_id,label,locations,floor_id
What type of material is the upholstery of the seat observed near the decorative pillows?,"['Leather', 'Fabric', 'Velvet', 'Plastic']",What type of material is the upholstery of the seat observed near the decorative pillows? A) Leather B) Fabric C) Velvet D) Plastic. Answer:,B. Fabric,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
"What style does the couch, located adjacent to the fluffy rug, appear to embody?","['Modern', 'Rustic', 'Traditional', 'Minimalist']","What style does the couch, located adjacent to the fluffy rug, appear to embody? A) Modern B) Rustic C) Traditional D) Minimalist. Answer:",C. Traditional,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
What material is the table located near the purple chairs made of?,"['Glass', 'Metal', 'Plastic', 'Wood']",What material is the table located near the purple chairs made of? A) Glass B) Metal C) Plastic D) Wood. Answer:,D. Wood,00000-kfPV7w3FaU5,attribute_speicial,"table (12): [5.114, 4.158, -2.375]",-1
How many legs does the table positioned in front of the purple couches have?,"['Three', 'Four', 'Five', 'Six']",How many legs does the table positioned in front of the purple couches have? A) Three B) Four C) Five D) Six. Answer:,B. Four,00000-kfPV7w3FaU5,attribute_speicial,"table (12): [5.114, 4.158, -2.375]",-1
What design style characterizes the table situated by the patterned wall?,"['Rustic', 'Modern', 'Industrial', 'Vintage']",What design style characterizes the table situated by the patterned wall? A) Rustic B) Modern C) Industrial D) Vintage. Answer:,B. Modern,00000-kfPV7w3FaU5,attribute_speicial,"table (12): [5.114, 4.158, -2.375]",-1
What material is the countertop adjacent to the stove made of?,"['Wood', 'Glass', 'Marble', 'Metal']",What material is the countertop adjacent to the stove made of? A) Wood B) Glass C) Marble D) Metal. Answer:,C. Marble,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
What design style characterizes the cabinetry beside the refrigerator?,"['Modern', 'Rustic', 'Traditional', 'Industrial']",What design style characterizes the cabinetry beside the refrigerator? A) Modern B) Rustic C) Traditional D) Industrial. Answer:,C. Traditional,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
How many shelves are incorporated into the cabinet to the left of the sink?,"['Two', 'Three', 'Four', 'Five']",How many shelves are incorporated into the cabinet to the left of the sink? A) Two B) Three C) Four D) Five. Answer:,B. Three,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
What is the design style of the appliance located next to the wooden cabinetry?,"['Industrial', 'Rustic', 'Modern', 'Vintage']",What is the design style of the appliance located next to the wooden cabinetry? A) Industrial B) Rustic C) Modern D) Vintage. Answer:,Modern,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
How many shelves are present in the appliance adjacent to the countertop?,"['Two', 'Four', 'Three', 'Five']",How many shelves are present in the appliance adjacent to the countertop? A) Two B) Four C) Three D) Five. Answer:,Three,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
What material is primarily used in the construction of the appliance positioned beside the floor tiles?,"['Glass', 'Plastic', 'Metal', 'Wood']",What material is primarily used in the construction of the appliance positioned beside the floor tiles? A) Glass B) Plastic C) Metal D) Wood. Answer:,Metal,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
What color is the appliance located near the window?,"['Blue', 'Black', 'White', 'Red']",What color is the appliance located near the window? A) Blue B) Black C) White D) Red. Answer:,White,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
What type of wood is primarily used for the bed situated in the room near the door and window?,"['Metal', 'Plastic', 'Oak', 'Glass']",What type of wood is primarily used for the bed situated in the room near the door and window? A) Metal B) Plastic C) Oak D) Glass. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
How many spindles are visible on the headboard of the bed located to the left of the entrance?,"['Three', 'Five', 'Eight', 'Ten']",How many spindles are visible on the headboard of the bed located to the left of the entrance? A) Three B) Five C) Eight D) Ten. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
What is the design style of the bed that is positioned adjacent to the dresser in the corner?,"['Minimalist', 'Traditional', 'Industrial', 'Modern']",What is the design style of the bed that is positioned adjacent to the dresser in the corner? A) Minimalist B) Traditional C) Industrial D) Modern. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
What type of finish is observed on the wooden bed frame found next to the curtains?,"['Glossy', 'Matte', 'Distressed', 'Painted']",What type of finish is observed on the wooden bed frame found next to the curtains? A) Glossy B) Matte C) Distressed D) Painted. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
How many cushions are placed on the bed that is adjacent to the wooden dresser?,"['Two', 'Three', 'Four', 'Five']",How many cushions are placed on the bed that is adjacent to the wooden dresser? A) Two B) Three C) Four D) Five. Answer:,Three,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
What type of material is used for the bed frame that is positioned near the wall?,"['Metal', 'Plastic', 'Glass', 'Fabric']",What type of material is used for the bed frame that is positioned near the wall? A) Metal B) Plastic C) Glass D) Fabric. Answer:,Wood,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
What is the design style of the bedding on the bed next to the tall wooden cabinet?,"['Modern', 'Vintage', 'Minimalist', 'Traditional']",What is the design style of the bedding on the bed next to the tall wooden cabinet? A) Modern B) Vintage C) Minimalist D) Traditional. Answer:,Traditional,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
How many legs does the bed near the patterned wallpaper have?,"['Three', 'Five', 'Four', 'Six']",How many legs does the bed near the patterned wallpaper have? A) Three B) Five C) Four D) Six. Answer:,C. Four,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
What color is the fabric of the bedding on the bed placed opposite the window?,"['Green', 'White', 'Blue', 'Red']",What color is the fabric of the bedding on the bed placed opposite the window? A) Green B) White C) Blue D) Red. Answer:,B. White,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
What is the material of the bedside table next to the bed with the white bedding?,"['Glass', 'Metal', 'Wood', 'Plastic']",What is the material of the bedside table next to the bed with the white bedding? A) Glass B) Metal C) Wood D) Plastic. Answer:,C. Wood,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
What design style characterizes the headboard of the bed in the room?,"['Industrial', 'Modern', 'Vintage', 'Minimalist']",What design style characterizes the headboard of the bed in the room? A) Industrial B) Modern C) Vintage D) Minimalist. Answer:,C. Vintage,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
How many legs are supporting the bed that's against the wall and near the window?,"['three', 'five', 'four', 'six']",How many legs are supporting the bed that's against the wall and near the window? A) three B) five C) four D) six. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
What is the material of the bed frame located in the center of the room?,"['metal', 'plastic', 'wood', 'glass']",What is the material of the bed frame located in the center of the room? A) metal B) plastic C) wood D) glass. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
What style is the design of the bedside table next to the bed with a white comforter?,"['modern', 'rustic', 'industrial', 'traditional']",What style is the design of the bedside table next to the bed with a white comforter? A) modern B) rustic C) industrial D) traditional. Answer:,D,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
How many pillows can be seen resting on the bed that has a patterned wall behind it?,"['one', 'two', 'three', 'four']",How many pillows can be seen resting on the bed that has a patterned wall behind it? A) one B) two C) three D) four. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
"What design style characterizes the table located against the wall, near the entrance door?","['Modern', 'Victorian', 'Rustic', 'Industrial']","What design style characterizes the table located against the wall, near the entrance door? A) Modern B) Victorian C) Rustic D) Industrial. Answer:",B,00000-kfPV7w3FaU5,attribute_speicial,"table (29): [6.94, 1.305, 0.42]",1
What material is primarily used in the construction of the table positioned next to the wall?,"['Metal', 'Glass', 'Wood', 'Plastic']",What material is primarily used in the construction of the table positioned next to the wall? A) Metal B) Glass C) Wood D) Plastic. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"table (29): [6.94, 1.305, 0.42]",1
"How many drawers are there in the table situated near the corner, adjacent to the door?","['Two', 'Three', 'One', 'Four']","How many drawers are there in the table situated near the corner, adjacent to the door? A) Two B) Three C) One D) Four. Answer:",A,00000-kfPV7w3FaU5,attribute_speicial,"table (29): [6.94, 1.305, 0.42]",1
