question,choices,question_formatted,answer,locations,scene_id,label,floor_id
"Which has a greater overall volume, the bed or the bathtub?","['Bed', 'Bathtub', 'They are the same volume', 'None of the above']","Which has a greater overall volume, the bed or the bathtub? A) Bed B) Bathtub C) They are the same volume D) None of the above. Answer:",A,"bed (7): [-17.872, -2.469, 0.757]; bathtub (49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,attribute,1
"Which has greater height, the door or the curtain?","['Door', 'Curtain', 'They are the same height', 'None of the above']","Which has greater height, the door or the curtain? A) Door B) Curtain C) They are the same height D) None of the above. Answer:",B,"door (19): [-15.273, -1.123, 1.002]; curtain (33): [-14.969, 11.336, 1.274]",00001-UVdNNRcVyV1,attribute,1
"Which has a greater height, the bed or the window?","['The bed', 'The window', 'They have the same height', 'Neither has a height']","Which has a greater height, the bed or the window? A) The bed B) The window C) They have the same height D) Neither has a height. Answer:",B,"bed (10): [-9.565, -2.9, 0.565]; window (4): [-10.252, -6.343, 2.404]",00001-UVdNNRcVyV1,attribute,1
"Which object has a larger overall volume, the chair or the bathtub?","['The chair', 'The bathtub', 'They have the same volume', 'Neither has a volume']","Which object has a larger overall volume, the chair or the bathtub? A) The chair B) The bathtub C) They have the same volume D) Neither has a volume. Answer:",B,"chair (47): [-9.173, 0.67, 0.501]; bathtub (49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,attribute,1
"Which door has a greater height, the door located at [-9.089, -0.902, 1.144] or the door located at [-15.635, 1.29, 1.143]?","['The first door', 'The second door', 'They have the same height', 'Neither has a height']","Which door has a greater height, the door located at [-9.089, -0.902, 1.144] or the door located at [-15.635, 1.29, 1.143]? A) The first door B) The second door C) They have the same height D) Neither has a height. Answer:",C,"door (30): [-9.089, -0.902, 1.144]; door (24): [-15.635, 1.29, 1.143]",00001-UVdNNRcVyV1,attribute,1
"Which is taller, the table or the chair in the same region?","['The table is taller', 'The chair is taller', 'They are the same height', 'Cannot determine']","Which is taller, the table or the chair in the same region? A) The table is taller B) The chair is taller C) They are the same height D) Cannot determine. Answer:",B,"table (object_id: 42): [-10.966, 2.194, 0.27]; chair (object_id: 44): [-7.387, 1.688, 0.515]",00001-UVdNNRcVyV1,attribute,1
"Which has a larger overall volume, the bed or the bathtub?","['The bed has a larger volume', 'The bathtub has a larger volume', 'They have the same volume', 'Cannot determine']","Which has a larger overall volume, the bed or the bathtub? A) The bed has a larger volume B) The bathtub has a larger volume C) They have the same volume D) Cannot determine. Answer:",A,"bed (object_id: 9): [-9.897, -4.525, 0.513]; bathtub (object_id: 49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,attribute,1
How does the height of the door compare to the height of the window?,"['The window is taller', 'The door is taller', 'They are the same height', 'Cannot determine']",How does the height of the door compare to the height of the window? A) The window is taller B) The door is taller C) They are the same height D) Cannot determine. Answer:,B,"door (object_id: 19): [-15.273, -1.123, 1.002]; window (object_id: 0): [-15.715, 12.11, 1.409]",00001-UVdNNRcVyV1,attribute,1
"Which is taller, the chair or the bathtub?","['The chair is taller', 'The bathtub is taller', 'They are the same height', 'The height cannot be determined']","Which is taller, the chair or the bathtub? A) The chair is taller B) The bathtub is taller C) They are the same height D) The height cannot be determined. Answer:",B,"chair (44): [-7.387, 1.688, 0.515]; bathtub (49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,attribute,1
"Which has a greater overall volume, the table or the chair?","['The table has a greater volume', 'The chair has a greater volume', 'They have the same volume', 'The volume cannot be determined']","Which has a greater overall volume, the table or the chair? A) The table has a greater volume B) The chair has a greater volume C) They have the same volume D) The volume cannot be determined. Answer:",A,"table (41): [-7.503, 2.644, 0.641]; chair (44): [-7.387, 1.688, 0.515]",00001-UVdNNRcVyV1,attribute,1
"Which has a greater overall volume, the bed or the bathtub?","['The bed has a greater volume', 'The bathtub has a greater volume', 'They have the same volume', 'The volume cannot be determined']","Which has a greater overall volume, the bed or the bathtub? A) The bed has a greater volume B) The bathtub has a greater volume C) They have the same volume D) The volume cannot be determined. Answer:",A,"bed (10): [-9.565, -2.9, 0.565]; bathtub (49): [-4.214, 1.592, 0.395]",00001-UVdNNRcVyV1,attribute,1
"Which chair is taller, the chair with object_id 12 or the chair with object_id 21?","['Chair with object_id 12', 'Chair with object_id 21', 'They are of equal height', 'Cannot determine']","Which chair is taller, the chair with object_id 12 or the chair with object_id 21? A) Chair with object_id 12 B) Chair with object_id 21 C) They are of equal height D) Cannot determine. Answer:",A,"chair (12): [5.111, -7.896, 0.344]; chair (21): [11.21, -3.423, 0.334]",00002-FxCkHAfgh7A,attribute,1
"Which object has a larger overall volume, the table with object_id 2 or the table with object_id 1?","['Table with object_id 2', 'Table with object_id 1', 'They have the same volume', 'Cannot determine']","Which object has a larger overall volume, the table with object_id 2 or the table with object_id 1? A) Table with object_id 2 B) Table with object_id 1 C) They have the same volume D) Cannot determine. Answer:",A,"table (2): [5.111, -8.614, 0.302]; table (1): [5.296, -8.532, 0.285]",00002-FxCkHAfgh7A,attribute,1
"Which is taller, the door with object_id 33 or the door with object_id 36?","['Door with object_id 33', 'Door with object_id 36', 'They are of equal height', 'Cannot determine']","Which is taller, the door with object_id 33 or the door with object_id 36? A) Door with object_id 33 B) Door with object_id 36 C) They are of equal height D) Cannot determine. Answer:",B,"door (33): [9.835, 0.414, 0.929]; door (36): [12.321, -4.636, 1.087]",00002-FxCkHAfgh7A,attribute,1
"Which chair is taller, the chair located at [10.709, -3.722, 0.566] or the chair located at [8.107, -1.914, 0.526]?","['The chair at [10.709, -3.722, 0.566]', 'The chair at [8.107, -1.914, 0.526]', 'Both are the same height', 'Cannot determine from the given data.']","Which chair is taller, the chair located at [10.709, -3.722, 0.566] or the chair located at [8.107, -1.914, 0.526]? A) The chair at [10.709, -3.722, 0.566] B) The chair at [8.107, -1.914, 0.526] C) Both are the same height D) Cannot determine from the given data.. Answer:",A,"chair (object_id: 16): [10.709, -3.722, 0.566]; chair (object_id: 23): [8.107, -1.914, 0.526]",00002-FxCkHAfgh7A,attribute,1
"Which has a larger overall volume, the table located at [5.307, -8.605, 0.293] or the table located at [1.524, 0.612, 0.739]?","['The table at [5.307, -8.605, 0.293]', 'The table at [1.524, 0.612, 0.739]', 'Both have the same volume', 'Cannot determine from the given data.']","Which has a larger overall volume, the table located at [5.307, -8.605, 0.293] or the table located at [1.524, 0.612, 0.739]? A) The table at [5.307, -8.605, 0.293] B) The table at [1.524, 0.612, 0.739] C) Both have the same volume D) Cannot determine from the given data.. Answer:",A,"table (object_id: 6): [5.307, -8.605, 0.293]; table (object_id: 2): [5.111, -8.614, 0.302]",00002-FxCkHAfgh7A,attribute,1
"Which is shorter, the door located at [12.321, -4.636, 1.087] or the door located at [12.301, -4.497, 1.213]?","['The door at [12.321, -4.636, 1.087]', 'The door at [12.301, -4.497, 1.213]', 'Both are the same height', 'Cannot determine from the given data.']","Which is shorter, the door located at [12.321, -4.636, 1.087] or the door located at [12.301, -4.497, 1.213]? A) The door at [12.321, -4.636, 1.087] B) The door at [12.301, -4.497, 1.213] C) Both are the same height D) Cannot determine from the given data.. Answer:",A,"door (object_id: 36): [12.321, -4.636, 1.087]; door (object_id: 37): [12.301, -4.497, 1.213]",00002-FxCkHAfgh7A,attribute,1
"Which chair is taller, the chair with a Z dimension of 0.906 or the chair with a Z dimension of 0.917?","['The chair with 0.906', 'The chair with 0.917', 'Both are the same height', 'Height cannot be determined']","Which chair is taller, the chair with a Z dimension of 0.906 or the chair with a Z dimension of 0.917? A) The chair with 0.906 B) The chair with 0.917 C) Both are the same height D) Height cannot be determined. Answer:",B,"chair (23): [8.107, -1.914, 0.526]; chair (18): [4.188, -8.563, 0.387]",00002-FxCkHAfgh7A,attribute,1
"Which table has a larger overall volume, the table with dimensions [1.524, 1.047, 0.739] or the table with dimensions [1.15, 0.865, 0.759]?","['The first table', 'The second table', 'Both tables have the same volume', 'Volume cannot be determined']","Which table has a larger overall volume, the table with dimensions [1.524, 1.047, 0.739] or the table with dimensions [1.15, 0.865, 0.759]? A) The first table B) The second table C) Both tables have the same volume D) Volume cannot be determined. Answer:",A,"table (2): [5.111, -8.614, 0.302]; table (1): [5.296, -8.532, 0.285]",00002-FxCkHAfgh7A,attribute,1
"Which is taller, the plant with a height of 1.26 or the chair with a height of 0.903?","['The plant', 'The chair', 'Both are the same height', 'Height cannot be determined']","Which is taller, the plant with a height of 1.26 or the chair with a height of 0.903? A) The plant B) The chair C) Both are the same height D) Height cannot be determined. Answer:",A,"plant (50): [12.975, -5.192, 0.968]; chair (10): [5.056, -9.194, 0.362]",00002-FxCkHAfgh7A,attribute,1
"Which is taller, the chair or the appliance?","['chair', 'appliance', 'both are equal in height', 'neither can be measured']","Which is taller, the chair or the appliance? A) chair B) appliance C) both are equal in height D) neither can be measured. Answer:",B,"chair (9): [4.206, -8.614, 0.385]; appliance (47): [4.984, -4.224, 1.001]",00002-FxCkHAfgh7A,attribute,1
"Which has a larger overall volume, the table or the sofa?","['table', 'sofa', 'both have the same volume', 'cannot determine without dimensions']","Which has a larger overall volume, the table or the sofa? A) table B) sofa C) both have the same volume D) cannot determine without dimensions. Answer:",B,"table (1): [5.296, -8.532, 0.285]; sofa (53): [10.754, -3.756, 0.458]",00002-FxCkHAfgh7A,attribute,1
"Which is taller, the door or the window?","['door', 'window', 'both are the same height', 'cannot determine without dimensions']","Which is taller, the door or the window? A) door B) window C) both are the same height D) cannot determine without dimensions. Answer:",A,"door (35): [6.983, -4.318, 1.19]; window (31): [10.539, -4.967, 1.588]",00002-FxCkHAfgh7A,attribute,1
"Which chair is taller, the chair at [10.709, -3.722] or the chair at [5.158, -9.22]?","['The chair at [10.709, -3.722] is taller', 'The chair at [5.158, -9.22] is taller', 'Both chairs are of equal height', ""It's impossible to determine their heights.""]","Which chair is taller, the chair at [10.709, -3.722] or the chair at [5.158, -9.22]? A) The chair at [10.709, -3.722] is taller B) The chair at [5.158, -9.22] is taller C) Both chairs are of equal height D) It's impossible to determine their heights.. Answer:",A,"chair (16): [10.709, -3.722, 0.566]; chair (20): [5.158, -9.22, 0.357]",00002-FxCkHAfgh7A,attribute,1
"Which table has a greater overall volume, the table at [5.111, -8.614] or the table at [9.45, -3.65]?","['The table at [5.111, -8.614] has a greater volume', 'The table at [9.45, -3.65] has a greater volume', 'Both tables have the same volume', ""It's impossible to determine their volumes.""]","Which table has a greater overall volume, the table at [5.111, -8.614] or the table at [9.45, -3.65]? A) The table at [5.111, -8.614] has a greater volume B) The table at [9.45, -3.65] has a greater volume C) Both tables have the same volume D) It's impossible to determine their volumes.. Answer:",B,"table (2): [5.111, -8.614, 0.302]; table (4): [9.45, -3.65, 0.248]",00002-FxCkHAfgh7A,attribute,1
"Which chair has a greater height, the chair at [5.054, -7.91] or the chair at [4.181, -8.566]?","['The chair at [5.054, -7.91] is taller', 'The chair at [4.181, -8.566] is taller', 'Both chairs are of equal height', ""It's impossible to determine their heights.""]","Which chair has a greater height, the chair at [5.054, -7.91] or the chair at [4.181, -8.566]? A) The chair at [5.054, -7.91] is taller B) The chair at [4.181, -8.566] is taller C) Both chairs are of equal height D) It's impossible to determine their heights.. Answer:",A,"chair (11): [5.054, -7.91, 0.388]; chair (15): [4.181, -8.566, 0.592]",00002-FxCkHAfgh7A,attribute,1
"Which object is taller, the chair or the bed?","['The chair', 'The bed', 'Both are the same height', 'Cannot determine']","Which object is taller, the chair or the bed? A) The chair B) The bed C) Both are the same height D) Cannot determine. Answer:",B,"chair (58): [12.366, -5.472, 3.258]; bed (68): [11.194, -0.525, 3.822]",00002-FxCkHAfgh7A,attribute,2
"Which object has a larger overall volume, the table or the bed?","['The table', 'The bed', 'Both are the same volume', 'Cannot determine']","Which object has a larger overall volume, the table or the bed? A) The table B) The bed C) Both are the same volume D) Cannot determine. Answer:",A,"table (61): [12.557, -5.415, 3.558]; bed (68): [11.194, -0.525, 3.822]",00002-FxCkHAfgh7A,attribute,2
Is the height of the curtain greater than the height of the picture?,"['Yes, the curtain is taller', 'No, the picture is taller', 'Both are of the same height', 'Cannot determine']","Is the height of the curtain greater than the height of the picture? A) Yes, the curtain is taller B) No, the picture is taller C) Both are of the same height D) Cannot determine. Answer:",A,"curtain (64): [5.503, -4.479, 4.301]; picture (65): [7.724, 0.12, 4.863]",00002-FxCkHAfgh7A,attribute,2
"Which object is taller, the chair or the table?","['chair', 'table', 'both are the same height', 'cannot determine']","Which object is taller, the chair or the table? A) chair B) table C) both are the same height D) cannot determine. Answer:",A,"chair (30): [1.953, 5.504, 0.495]; table (8): [3.689, 3.121, 0.391]",00005-yPKGKBCyYx8,attribute,1
"Which object has a larger overall volume, the bed or the dresser?","['bed', 'dresser', 'both have the same volume', 'cannot determine']","Which object has a larger overall volume, the bed or the dresser? A) bed B) dresser C) both have the same volume D) cannot determine. Answer:",A,"bed (48): [13.028, 3.733, 0.568]; dresser (47): [10.207, 4.652, 0.801]",00005-yPKGKBCyYx8,attribute,1
"Which chair is shorter, the chair near the table or the chair closer to the window?","['chair near the table', 'chair closer to the window', 'both are the same height', 'cannot determine']","Which chair is shorter, the chair near the table or the chair closer to the window? A) chair near the table B) chair closer to the window C) both are the same height D) cannot determine. Answer:",B,"chair (29): [3.952, 3.245, 0.551]; chair (35): [6.642, 8.126, 0.286]",00005-yPKGKBCyYx8,attribute,1
Are the chair or the table taller?,"['The chair is taller', 'The table is taller', 'Both are the same height', 'Cannot be determined']",Are the chair or the table taller? A) The chair is taller B) The table is taller C) Both are the same height D) Cannot be determined. Answer:,B,"chair (30): [1.953, 5.504, 0.495]; table (2): [-1.775, -0.332, 0.502]",00005-yPKGKBCyYx8,attribute,1
"Which has a larger volume, the window or the door?","['The window has a larger volume', 'The door has a larger volume', 'Both have the same volume', 'Cannot be determined']","Which has a larger volume, the window or the door? A) The window has a larger volume B) The door has a larger volume C) Both have the same volume D) Cannot be determined. Answer:",A,"window (39): [14.24, 0.439, 1.577]; door (12): [6.888, 6.066, 1.041]",00005-yPKGKBCyYx8,attribute,1
"Which is larger in height, the wardrobe or the dresser?","['The wardrobe is larger', 'The dresser is larger', 'Both are the same height', 'Cannot be determined']","Which is larger in height, the wardrobe or the dresser? A) The wardrobe is larger B) The dresser is larger C) Both are the same height D) Cannot be determined. Answer:",A,"wardrobe (46): [10.207, 4.654, 0.802]; dresser (47): [10.207, 4.652, 0.801]",00005-yPKGKBCyYx8,attribute,1
"Which object is taller, the chair or the dresser?","['Chair', 'Dresser', 'Both are the same height', 'Cannot determine']","Which object is taller, the chair or the dresser? A) Chair B) Dresser C) Both are the same height D) Cannot determine. Answer:",B,"chair (34): [6.597, 8.92, 0.365]; dresser (47): [10.207, 4.652, 0.801]",00005-yPKGKBCyYx8,attribute,1
"Which object has a greater overall volume, the table or the bathtub?","['Table', 'Bathtub', 'Both have the same volume', 'Cannot determine']","Which object has a greater overall volume, the table or the bathtub? A) Table B) Bathtub C) Both have the same volume D) Cannot determine. Answer:",A,"table (8): [3.689, 3.121, 0.391]; bathtub (49): [13.653, 0.232, 0.309]",00005-yPKGKBCyYx8,attribute,1
Are the heights of the two toilets the same?,"['Yes', 'No', 'One is taller', 'Cannot determine']",Are the heights of the two toilets the same? A) Yes B) No C) One is taller D) Cannot determine. Answer:,B,"toilet (41): [9.793, 0.82, 0.41]; toilet (40): [7.437, 3.085, 0.356]",00005-yPKGKBCyYx8,attribute,1
"Which is taller, the chair or the table?","['The chair is taller', 'The table is taller', 'They are of equal height', 'It cannot be determined.']","Which is taller, the chair or the table? A) The chair is taller B) The table is taller C) They are of equal height D) It cannot be determined.. Answer:",A,"chair (34): [6.597, 8.92, 0.365]; table (2): [-1.775, -0.332, 0.502]",00005-yPKGKBCyYx8,attribute,1
"Which is larger in overall volume, the bed or the chair?","['The bed has a larger volume', 'The chair has a larger volume', 'They have the same volume', 'It cannot be determined.']","Which is larger in overall volume, the bed or the chair? A) The bed has a larger volume B) The chair has a larger volume C) They have the same volume D) It cannot be determined.. Answer:",A,"bed (48): [13.028, 3.733, 0.568]; chair (36): [13.58, 5.277, 0.55]",00005-yPKGKBCyYx8,attribute,1
"Which is taller, the window or the door?","['The window is taller', 'The door is taller', 'They are of equal height', 'It cannot be determined.']","Which is taller, the window or the door? A) The window is taller B) The door is taller C) They are of equal height D) It cannot be determined.. Answer:",B,"window (39): [14.24, 0.439, 1.577]; door (13): [9.205, -1.598, 1.073]",00005-yPKGKBCyYx8,attribute,1
"Which chair is taller, the chair at [6.512, 7.32, 0.559] or the chair at [2.588, 5.54, 0.493]?","['The chair at [6.512, 7.32, 0.559]', 'The chair at [2.588, 5.54, 0.493]', 'They are the same height', 'The heights cannot be determined.']","Which chair is taller, the chair at [6.512, 7.32, 0.559] or the chair at [2.588, 5.54, 0.493]? A) The chair at [6.512, 7.32, 0.559] B) The chair at [2.588, 5.54, 0.493] C) They are the same height D) The heights cannot be determined.. Answer:",A,"chair (33): [6.512, 7.32, 0.559]; chair (31): [2.588, 5.54, 0.493]",00005-yPKGKBCyYx8,attribute,1
"Which chair has a greater overall volume, the chair at [6.642, 8.126, 0.286] or the chair at [6.597, 8.92, 0.365]?","['The chair at [6.642, 8.126, 0.286]', 'The chair at [6.597, 8.92, 0.365]', 'They have the same volume', 'The volumes cannot be determined.']","Which chair has a greater overall volume, the chair at [6.642, 8.126, 0.286] or the chair at [6.597, 8.92, 0.365]? A) The chair at [6.642, 8.126, 0.286] B) The chair at [6.597, 8.92, 0.365] C) They have the same volume D) The volumes cannot be determined.. Answer:",B,"chair (35): [6.642, 8.126, 0.286]; chair (34): [6.597, 8.92, 0.365]",00005-yPKGKBCyYx8,attribute,1
"Which door is higher, the door at [9.701, 3.531, 1.031] or the door at [12.278, 0.886, 1.121]?","['The door at [9.701, 3.531, 1.031]', 'The door at [12.278, 0.886, 1.121]', 'They are the same height', 'The heights cannot be determined.']","Which door is higher, the door at [9.701, 3.531, 1.031] or the door at [12.278, 0.886, 1.121]? A) The door at [9.701, 3.531, 1.031] B) The door at [12.278, 0.886, 1.121] C) They are the same height D) The heights cannot be determined.. Answer:",B,"door (16): [9.701, 3.531, 1.031]; door (17): [12.278, 0.886, 1.121]",00005-yPKGKBCyYx8,attribute,1
"Which has a greater height, the window or the cabinet?","['window', 'cabinet', 'they have the same height', 'neither has a height']","Which has a greater height, the window or the cabinet? A) window B) cabinet C) they have the same height D) neither has a height. Answer:",A,"window (167): [-8.272, -3.103, 1.222]; cabinet (128): [-2.45, -4.038, 0.221]",00006-HkseAnWCgqk,attribute,1
"Which has a larger overall volume, the sofa or the table?","['sofa', 'table', 'they have the same volume', 'neither has a volume']","Which has a larger overall volume, the sofa or the table? A) sofa B) table C) they have the same volume D) neither has a volume. Answer:",A,"sofa (90): [-5.117, -1.448, 0.444]; table (168): [-7.722, -1.485, 0.258]",00006-HkseAnWCgqk,attribute,1
"Which has a greater height, the door or the window?","['door', 'window', 'they have the same height', 'neither has a height']","Which has a greater height, the door or the window? A) door B) window C) they have the same height D) neither has a height. Answer:",A,"door (126): [-2.078, -3.516, 1.202]; window (34): [-7.809, 3.387, 0.638]",00006-HkseAnWCgqk,attribute,1
"Which is taller, the shower or the door?","['The shower', 'The door', 'Both are the same height', 'It cannot be determined']","Which is taller, the shower or the door? A) The shower B) The door C) Both are the same height D) It cannot be determined. Answer:",A,"shower (185): [0.269, 2.496, 1.134]; door (205): [-1.692, 3.611, 1.006]",00006-HkseAnWCgqk,attribute,1
"Which has a larger overall volume, the cabinet or the wardrobe?","['The cabinet', 'The wardrobe', 'Both have the same volume', 'It cannot be determined']","Which has a larger overall volume, the cabinet or the wardrobe? A) The cabinet B) The wardrobe C) Both have the same volume D) It cannot be determined. Answer:",B,"cabinet (28): [-6.099, 4.742, 0.234]; wardrobe (232): [0.588, -2.852, 1.112]",00006-HkseAnWCgqk,attribute,1
Is the height of the bed greater than the height of the chair?,"['Yes, the bed is taller', 'No, the chair is taller', 'Both have the same height', 'It cannot be determined']","Is the height of the bed greater than the height of the chair? A) Yes, the bed is taller B) No, the chair is taller C) Both have the same height D) It cannot be determined. Answer:",A,"bed (24): [-4.846, 3.928, 0.509]; chair (17): [-6.792, 4.622, 0.474]",00006-HkseAnWCgqk,attribute,1
"Which is taller, the wardrobe or the cabinet?","['Wardrobe', 'Cabinet', 'Both are the same height', 'Cannot determine']","Which is taller, the wardrobe or the cabinet? A) Wardrobe B) Cabinet C) Both are the same height D) Cannot determine. Answer:",A,"wardrobe (231): [0.358, -1.603, 1.109]; cabinet (233): [0.418, -3.651, 0.549]",00006-HkseAnWCgqk,attribute,1
"Which has a larger overall volume, the sofa or the bed?","['Sofa', 'Bed', 'Both have the same volume', 'Cannot determine']","Which has a larger overall volume, the sofa or the bed? A) Sofa B) Bed C) Both have the same volume D) Cannot determine. Answer:",B,"sofa (90): [-5.117, -1.448, 0.444]; bed (24): [-4.846, 3.928, 0.509]",00006-HkseAnWCgqk,attribute,1
"Which is taller, the door or the window?","['Door', 'Window', 'Both are the same height', 'Cannot determine']","Which is taller, the door or the window? A) Door B) Window C) Both are the same height D) Cannot determine. Answer:",A,"door (221): [-0.311, 0.524, 0.996]; window (112): [-6.629, -4.343, 1.166]",00006-HkseAnWCgqk,attribute,1
"Which object is taller, the shelf or the lamp?","['The shelf is taller', 'The lamp is taller', 'They are the same height', 'The height cannot be determined.']","Which object is taller, the shelf or the lamp? A) The shelf is taller B) The lamp is taller C) They are the same height D) The height cannot be determined.. Answer:",A,"shelf (64): [-7.397, 1.645, 1.009]; lamp (30): [-3.612, 4.624, 0.65]",00006-HkseAnWCgqk,attribute,1
"Which has a greater overall volume, the heater or the bathroom accessory?","['The heater has a greater overall volume', 'The bathroom accessory has a greater overall volume', 'They have the same overall volume', 'The volumes cannot be compared.']","Which has a greater overall volume, the heater or the bathroom accessory? A) The heater has a greater overall volume B) The bathroom accessory has a greater overall volume C) They have the same overall volume D) The volumes cannot be compared.. Answer:",A,"heater (16): [-7.519, 4.554, 0.372]; bathroom accessory (189): [0.685, 3.257, 0.862]",00006-HkseAnWCgqk,attribute,1
"Between the shower and the cabinet, which object is shorter?","['The shower is shorter', 'The cabinet is shorter', 'They are of equal height', 'The height cannot be evaluated.']","Between the shower and the cabinet, which object is shorter? A) The shower is shorter B) The cabinet is shorter C) They are of equal height D) The height cannot be evaluated.. Answer:",B,"shower (185): [0.269, 2.496, 1.134]; cabinet (129): [-4.126, -4.226, 0.296]",00006-HkseAnWCgqk,attribute,1
"Which is taller, the lamp or the cabinet?","['lamp', 'cabinet', 'Both are the same height', 'Neither is tall']","Which is taller, the lamp or the cabinet? A) lamp B) cabinet C) Both are the same height D) Neither is tall. Answer:",A,"lamp (58): [-6.682, -0.607, 1.043]; cabinet (77): [-3.331, -0.402, 1.238]",00006-HkseAnWCgqk,attribute,1
"Which has a greater overall volume, the bathtub or the shower?","['bathtub', 'shower', 'Both have the same volume', 'Neither has a volume worth comparing']","Which has a greater overall volume, the bathtub or the shower? A) bathtub B) shower C) Both have the same volume D) Neither has a volume worth comparing. Answer:",B,"bathtub (184): [-0.129, 4.507, 0.364]; shower (196): [0.483, 4.777, 1.082]",00006-HkseAnWCgqk,attribute,1
"Which has a greater overall volume, the wardrobe or the cabinet?","['wardrobe', 'cabinet', 'Both have the same volume', 'Neither has a volume worth comparing']","Which has a greater overall volume, the wardrobe or the cabinet? A) wardrobe B) cabinet C) Both have the same volume D) Neither has a volume worth comparing. Answer:",A,"wardrobe (231): [0.358, -1.603, 1.109]; cabinet (76): [-4.97, -0.614, 1.217]",00006-HkseAnWCgqk,attribute,1
