question,choices,question_formatted,answer,scene_id,label,locations,floor_id
What is the color of the cushions on the sofa located in the living room?,"['Green', 'Blue', 'Yellow', 'Red']",What is the color of the cushions on the sofa located in the living room? A) Green B) Blue C) Yellow D) Red. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
How many legs are there on the couch positioned near the area rug?,"['Three', 'Five', 'Four', 'Six']",How many legs are there on the couch positioned near the area rug? A) Three B) Five C) Four D) Six. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
What is the material used for the sofa situated adjacent to the wall with the patterned design?,"['Plastic', 'Wood', 'Metal', 'Fabric']",What is the material used for the sofa situated adjacent to the wall with the patterned design? A) Plastic B) Wood C) Metal D) Fabric. Answer:,D,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
"What style does the sofa, located in the corner next to the window, predominantly represent?","['Modern', 'Vintage', 'Minimalist', 'Rustic']","What style does the sofa, located in the corner next to the window, predominantly represent? A) Modern B) Vintage C) Minimalist D) Rustic. Answer:",B,00000-kfPV7w3FaU5,attribute_speicial,"chair (7): [3.172, 4.14, -2.379]",-1
What is the shape of the table positioned next to the couch on the left?,"['Round', 'Square', 'Rectangular', 'Oval']",What is the shape of the table positioned next to the couch on the left? A) Round B) Square C) Rectangular D) Oval. Answer:,C. Rectangular,00000-kfPV7w3FaU5,attribute_speicial,"table (12): [5.114, 4.158, -2.375]",-1
What material is the surface of the table in front of the purple couch likely made from?,"['Glass', 'Metal', 'Wood', 'Plastic']",What material is the surface of the table in front of the purple couch likely made from? A) Glass B) Metal C) Wood D) Plastic. Answer:,C. Wood,00000-kfPV7w3FaU5,attribute_speicial,"table (12): [5.114, 4.158, -2.375]",-1
What design style best describes the table located near the seating area in the image?,"['Modern', 'Rustic', 'Minimalist', 'Traditional']",What design style best describes the table located near the seating area in the image? A) Modern B) Rustic C) Minimalist D) Traditional. Answer:,D. Traditional,00000-kfPV7w3FaU5,attribute_speicial,"table (12): [5.114, 4.158, -2.375]",-1
What is the design style of the cabinet adjacent to the radiator in the corner of the kitchen?,"['Contemporary', 'Rustic', 'Industrial', 'Art Deco']",What is the design style of the cabinet adjacent to the radiator in the corner of the kitchen? A) Contemporary B) Rustic C) Industrial D) Art Deco. Answer:,B. Rustic,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
What material is the top of the table situated in front of the radiator?,"['Glass', 'Wood', 'Marble', 'Plastic']",What material is the top of the table situated in front of the radiator? A) Glass B) Wood C) Marble D) Plastic. Answer:,C. Marble,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
How many shelves does the cabinet next to the radiator have?,"['Three', 'Five', 'Four', 'Two']",How many shelves does the cabinet next to the radiator have? A) Three B) Five C) Four D) Two. Answer:,A. Three,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
What is the color of the radiator located near the base of the wall?,"['Green', 'Blue', 'White', 'Black']",What is the color of the radiator located near the base of the wall? A) Green B) Blue C) White D) Black. Answer:,C. White,00000-kfPV7w3FaU5,attribute_speicial,"radiator (14): [6.561, 1.542, -2.142]",-1
What kind of surface finish does the furniture next to the window have?,"['Glossy', 'Matte', 'Textured', 'Patterned']",What kind of surface finish does the furniture next to the window have? A) Glossy B) Matte C) Textured D) Patterned. Answer:,Matte,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
How many shelves are there in the cabinet adjacent to the stove?,"['Three', 'Four', 'Two', 'Five']",How many shelves are there in the cabinet adjacent to the stove? A) Three B) Four C) Two D) Five. Answer:,Three,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
What is the design style of the appliance located near the countertop?,"['Minimalist', 'Industrial', 'Rustic', 'Art Deco']",What is the design style of the appliance located near the countertop? A) Minimalist B) Industrial C) Rustic D) Art Deco. Answer:,Industrial,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
What material is the structure made of that is located beside the sink?,"['Wood', 'Glass', 'Metal', 'Plastic']",What material is the structure made of that is located beside the sink? A) Wood B) Glass C) Metal D) Plastic. Answer:,Metal,00000-kfPV7w3FaU5,attribute_speicial,"appliance (16): [7.402, 1.075, -1.576]",-1
What is the material used for the structure of the bed located against the wall near the door?,"['Metal', 'Plastic', 'Wood', 'Fabric']",What is the material used for the structure of the bed located against the wall near the door? A) Metal B) Plastic C) Wood D) Fabric. Answer:,C. Wood,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
How many vertical slats are on the headboard of the bed positioned adjacent to the window?,"['Three', 'Five', 'Four', 'Six']",How many vertical slats are on the headboard of the bed positioned adjacent to the window? A) Three B) Five C) Four D) Six. Answer:,B. Five,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
What style of design is the bed that is near the heater in the corner of the room?,"['Modern', 'Vintage', 'Industrial', 'Minimalist']",What style of design is the bed that is near the heater in the corner of the room? A) Modern B) Vintage C) Industrial D) Minimalist. Answer:,B. Vintage,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
What color is the frame of the bed that is situated next to the dresser?,"['Black', 'White', 'Brown', 'Grey']",What color is the frame of the bed that is situated next to the dresser? A) Black B) White C) Brown D) Grey. Answer:,C. Brown,00000-kfPV7w3FaU5,attribute_speicial,"bed (24): [1.732, 2.181, 0.353]",1
How many patterns are visible on the bedspread resting on the bed in the room adjacent to the wooden dresser?,"['Two', 'Four', 'Three', 'Five']",How many patterns are visible on the bedspread resting on the bed in the room adjacent to the wooden dresser? A) Two B) Four C) Three D) Five. Answer:,A. Two,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
What type of finish does the wooden nightstand beside the bed have within the room?,"['Matte', 'Glossy', 'Textured', 'Painted']",What type of finish does the wooden nightstand beside the bed have within the room? A) Matte B) Glossy C) Textured D) Painted. Answer:,B. Glossy,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
Which design style is reflected in the headboard of the bed located near the striped wallpaper?,"['Contemporary', 'Rustic', 'Vintage', 'Modern']",Which design style is reflected in the headboard of the bed located near the striped wallpaper? A) Contemporary B) Rustic C) Vintage D) Modern. Answer:,B. Rustic,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
How many legs support the bed positioned against the wall opposite the window?,"['Four', 'Six', 'Three', 'Five']",How many legs support the bed positioned against the wall opposite the window? A) Four B) Six C) Three D) Five. Answer:,A. Four,00000-kfPV7w3FaU5,attribute_speicial,"bed (25): [1.544, 3.79, 0.653]",1
"How many legs does the bed have, considering its position between the dresser and the window?","['Four', 'Three', 'Five', 'Six']","How many legs does the bed have, considering its position between the dresser and the window? A) Four B) Three C) Five D) Six. Answer:",A,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
"What is the material of the bed frame, as observed near the bedside table and wall?","['Wood', 'Metal', 'Plastic', 'Fabric']","What is the material of the bed frame, as observed near the bedside table and wall? A) Wood B) Metal C) Plastic D) Fabric. Answer:",A,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
"What style is the design of the bed, given its location next to the floral wallpaper and chest of drawers?","['Contemporary', 'Vintage', 'Industrial', 'Minimalist']","What style is the design of the bed, given its location next to the floral wallpaper and chest of drawers? A) Contemporary B) Vintage C) Industrial D) Minimalist. Answer:",B,00000-kfPV7w3FaU5,attribute_speicial,"bed (26): [5.881, 3.732, 0.698]",1
How many legs support the bed positioned beside the window with the patterned wallpaper?,"['Three', 'Five', 'Four', 'Six']",How many legs support the bed positioned beside the window with the patterned wallpaper? A) Three B) Five C) Four D) Six. Answer:,C. Four,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
What is the primary material of the bedframe located against the wall with the heart designs?,"['Metal', 'Plastic', 'Wood', 'Glass']",What is the primary material of the bedframe located against the wall with the heart designs? A) Metal B) Plastic C) Wood D) Glass. Answer:,C. Wood,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
What style is the design of the bed that has a white coverlet and is next to a vintage nightstand?,"['Modern', 'Rustic', 'Traditional', 'Industrial']",What style is the design of the bed that has a white coverlet and is next to a vintage nightstand? A) Modern B) Rustic C) Traditional D) Industrial. Answer:,C. Traditional,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
How many drawers are included in the nightstand next to the bed with a light-colored cover?,"['One', 'Two', 'Three', 'Four']",How many drawers are included in the nightstand next to the bed with a light-colored cover? A) One B) Two C) Three D) Four. Answer:,B. Two,00000-kfPV7w3FaU5,attribute_speicial,"bed (27): [5.93, 3.216, 0.422]",1
How many legs does the table next to the wall have?,"['Three', 'Four', 'Five', 'Six']",How many legs does the table next to the wall have? A) Three B) Four C) Five D) Six. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"table (29): [6.94, 1.305, 0.42]",1
What material is the tabletop of the piece situated near the door likely made of?,"['Glass', 'Metal', 'Wood', 'Plastic']",What material is the tabletop of the piece situated near the door likely made of? A) Glass B) Metal C) Wood D) Plastic. Answer:,C,00000-kfPV7w3FaU5,attribute_speicial,"table (29): [6.94, 1.305, 0.42]",1
What design style best describes the table positioned in the corner of the room?,"['Modern', 'Vintage', 'Rustic', 'Industrial']",What design style best describes the table positioned in the corner of the room? A) Modern B) Vintage C) Rustic D) Industrial. Answer:,B,00000-kfPV7w3FaU5,attribute_speicial,"table (29): [6.94, 1.305, 0.42]",1
